,代码,名称
0,159984,湾区100ETF
1,515220,煤炭ETF
2,159719,开放共赢ETF
3,159876,有色龙头ETF
4,516110,汽车ETF
5,512400,有色金属ETF
6,515210,钢铁ETF
7,510410,资源ETF
8,510170,大宗商品ETF
9,159652,有色50ETF
10,516150,稀土ETF基金
11,159930,能源ETF
12,159871,有色金属ETF
13,516650,有色50ETF
14,159881,有色60ETF
15,516780,稀土ETF
16,159880,有色ETF基金
17,159715,稀土ETF易方达
18,510160,产业升级ETF
19,159713,稀土ETF
20,512870,杭州湾区ETF
21,159618,光伏ETF华安
22,561330,矿业ETF
23,159945,能源ETF基金
24,562800,稀有金属ETF
25,516880,光伏50ETF
26,510190,上证龙头ETF
27,515790,光伏ETF
28,516290,光伏ETF基金
29,561800,稀有金属ETF基金
30,516710,新材料50ETF
31,560980,光伏ETF龙头
32,159825,农业ETF
33,516220,化工龙头ETF
34,159638,高端装备ETF
35,517180,开放共赢ETF
36,159616,农牧ETF
37,516020,化工ETF
38,561550,500增强ETF
39,516120,化工50ETF
40,159907,中小300ETF
41,510570,兴业中证500ETF
42,510880,红利ETF
43,515080,中证红利ETF
44,159609,光伏龙头ETF
45,512040,价值100ETF
46,159827,农业50ETF
47,515180,红利ETF易方达
48,159857,光伏ETF
49,516810,农业50ETF
50,516570,化工行业ETF
51,159608,稀有金属ETF
52,159620,500成长ETF
53,516360,新材料ETF
54,159870,化工ETF
55,159635,基建50ETF
56,159863,光伏ETF基金
57,516950,基建ETF
58,159617,500价值ETF
59,560060,碳中和ETF
60,512890,红利低波ETF
61,561190,双碳ETF
62,562990,碳中和100ETF
63,516180,光伏ETF平安
64,159641,双碳ETF
65,159642,碳中和100ETF
66,159864,光伏50ETF
67,159606,中证500成长ETF
68,159865,养殖ETF
69,159703,新材料ETF
70,517090,共赢ETF
71,159763,新材料ETF基金
72,159731,石化ETF
73,515060,房地产ETF基金
74,159761,新材料50ETF
75,512710,军工龙头ETF
76,159619,基建ETF
77,516760,养殖ETF
78,562900,现代农业ETF
79,159990,小盘价值ETF
80,515890,红利ETF博时
81,560100,中证500增强ETF
82,159640,碳中和龙头ETF
83,516270,新能源50ETF
84,515250,智能汽车ETF
85,560560,泰康碳中和ETF
86,510770,G60创新ETF
87,159944,材料ETF
88,159974,央企创新ETF
89,159867,畜牧ETF
90,159628,国证2000ETF
91,515100,红利100ETF
92,516850,新能源80ETF
93,159916,深F60ETF
94,512200,房地产ETF
95,516670,畜牧养殖ETF
96,560550,碳中和ETF环交所
97,512660,军工ETF
98,159639,碳中和ETF南方
99,512950,央企改革ETF
100,512260,中证500低波ETF
101,512510,中证500指数ETF
102,515600,央企创新ETF
103,515900,央企创新驱动ETF
104,159663,机床ETF
105,515680,嘉实央企创新ETF
106,512070,证券保险ETF
107,516550,农业ETF
108,512530,沪深300红利ETF
109,516690,化工产业ETF
110,562910,高端制造ETF
111,159922,中证500ETF
112,510020,超大盘ETF
113,512810,国防军工ETF
114,512750,基本面50ETF
115,515110,一带一路国企ETF
116,510560,国寿500ETF
117,561120,家电ETF
118,515560,证券ETF建信
119,562390,中药50ETF
120,512680,军工ETF龙头
121,159820,中证500ETF天弘
122,516160,新能源ETF
123,512670,国防ETF
124,159968,中证500ETF博时
125,512770,战略新兴ETF
126,159886,机械ETF
127,561560,电力ETF
128,159982,中证500ETF鹏华
129,515530,泰康中证500ETF
130,561510,中医药ETF
131,515450,红利低波50ETF
132,515150,一带一路ETF
133,516890,新材料ETF平安
134,516910,物流ETF
135,561350,国泰中证500ETF
136,512580,碳中和龙头ETF
137,159730,龙头家电ETF
138,516520,智能驾驶ETF
139,159875,新能源ETF
140,560500,500质量成长ETF
141,516320,高端装备ETF
142,510680,上证50ETF基金
143,159888,智能车ETF
144,159647,中药ETF
145,516860,金融科技ETF
146,512560,军工ETF易方达
147,159910,基本面120ETF
148,159610,500ETF增强
149,512500,500ETF基金
150,159795,智能车ETF基金
151,159667,工业母机ETF
152,510130,中盘ETF
153,510500,中证500ETF
154,510100,上证50ETF易方达
155,159861,碳中和50ETF
156,159625,绿色电力ETF
157,159872,智能网联汽车ETF
158,562530,1000价值ETF
159,512390,平安MSCI低波ETF
160,516300,中证1000指数ETF
161,159913,深价值ETF
162,516530,物流快递ETF
163,159767,电池龙头ETF
164,512570,证券ETF易方达
165,159707,地产ETF
166,562350,电力指数ETF
167,510710,上证50ETF博时
168,515920,智能消费ETF
169,510580,中证500ETF易方达
170,159996,家电ETF
171,159940,金融地产ETF
172,510590,平安中证500ETF
173,560880,家电ETF龙头
174,562310,沪深300成长ETF
175,510550,方正中证500ETF
176,562300,碳中和ETF基金
177,517330,长江保护ETF
178,560110,中证1000ETF基金
179,159790,碳中和ETF
180,510050,上证50ETF
181,510030,价值ETF
182,515580,科技100ETF
183,515300,红利低波ETF基金
184,159885,碳中和ETF基金
185,560650,核心50ETF
186,562320,沪深300价值ETF
187,561900,沪深300ESGETF
188,516090,新能源ETF易方达
189,515520,MSCI价值100ETF
190,512100,中证1000ETF
191,513530,港股通红利ETF
192,159680,1000ETF增强
193,510850,工银上证50ETF
194,510990,180ESGETF
195,516380,智能电动车ETF
196,515760,浙江国资ETF
197,562520,1000成长ETF
198,510530,工银中证500ETF
199,159936,可选消费ETF
200,159933,国投金融地产ETF
201,510060,央企ETF
202,159959,央企ETF
203,515850,证券龙头ETF
204,515880,通信ETF
205,159845,中证1000ETF
206,516970,基建50ETF
207,512640,金融地产ETF基金
208,512900,证券ETF基金
209,512320,工银MSCI中国ETF
210,516100,互联网金融ETF
211,510510,中证500ETF基金
212,510800,50ETF基金
213,510180,上证180ETF
214,510600,申万上证50ETF
215,159973,民企领先100ETF
216,159669,绿电ETF
217,159666,交通运输ETF
218,560960,碳中和60指数ETF
219,159720,泰康智能电车ETF
220,512960,央企结构调整ETF
221,516260,物联网50ETF
222,515190,中银证券500ETF
223,159752,新能源龙头ETF
224,510290,上证380ETF
225,512150,A50ETF
226,159677,1000增强ETF
227,515010,券商ETF基金
228,562500,机器人ETF
229,516660,新能汽车ETF
230,516830,300ESGETF
231,561180,A100ETF
232,512820,银行业ETF
233,512380,MSCI中国ETF
234,560010,中证1000ETF指数
235,516730,证券公司ETF
236,510380,国寿300ETF
237,560050,MSCI中国A50ETF
238,563000,中国A50ETF
239,159601,A50ETF
240,159841,证券ETF
241,515800,800ETF
242,159889,智能汽车ETF
243,159853,科技100ETF
244,159768,房地产ETF
245,516480,新材料ETF基金
246,515050,5GETF
247,159629,1000ETF
248,516070,碳中和50ETF
249,562360,机器人50ETF
250,512910,中证100ETF
251,159804,创中盘88ETF
252,516200,证券行业ETF
253,159717,ESGETF
254,560990,中金科技先锋ETF
255,512280,景顺MSCIA股ETF
256,562000,中证100ETF基金
257,561320,交运ETF
258,516750,建材ETF
259,515700,新能车ETF
260,159631,中证100ETF招商
261,159993,龙头券商ETF
262,159925,沪深300ETF南方
263,561590,中证1000增强ETF
264,159633,中证1000指数ETF
265,159732,消费电子ETF
266,510390,平安沪深300ETF
267,159627,100ETF
268,561160,锂电池ETF
269,159906,深成长龙头ETF
270,515590,500等权ETF
271,159630,中证100ETF基金
272,159848,证券ETF基金
273,515310,沪深300添富ETF
274,560000,智慧电车ETF
275,517160,长江保护主题ETF
276,510350,工银沪深300ETF
277,512090,MSCIA股ETF易方达
278,561500,漂亮50ETF
279,510650,金融地产ETF
280,512160,MSCI中国A股ETF
281,159943,深证成指ETF
282,512990,MSCIA股ETF
283,512520,MSCIETF
284,159708,红利ETF
285,510810,上海国企ETF
286,159770,机器人ETF
287,560080,中药ETF
288,515990,国企一带一路ETF
289,510270,国企ETF
290,159602,中国A50ETF
291,561990,沪深300增强ETF
292,159637,新能源车龙头ETF
293,515750,科技50ETF
294,159743,湖北ETF
295,159613,信息安全ETF
296,159611,电力ETF
297,159745,建材ETF
298,159887,银行ETF
299,159842,券商ETF
300,512000,券商ETF
301,516980,证券ETF先锋
302,515350,民生加银300ETF
303,561700,电力ETF基金
304,159903,深成ETF
305,159919,沪深300ETF
306,516390,新能源汽车ETF
307,512880,证券ETF
308,159811,5G50ETF
309,510210,上证指数ETF
310,515290,银行ETF天弘
311,512550,A50ETF基金
312,510230,金融ETF
313,159815,浙江100ETF
314,516960,机械ETF
315,159656,300成长ETF
316,515930,永赢沪深300ETF
317,515630,保险证券ETF
318,512800,银行ETF
319,515380,泰康沪深300ETF
320,515330,300ETF天弘
321,159824,新能车ETF
322,159807,科技ETF
323,515810,中证800ETF
324,510310,沪深300ETF易方达
325,159710,智能电车ETF
326,561100,消费电子龙头ETF
327,510360,沪深300ETF基金
328,159840,锂电池ETF
329,512220,TMTETF
330,159896,物联网龙头ETF
331,159701,物联网ETF招商
332,159757,电池30ETF
333,515360,方正沪深300ETF
334,510110,周期ETF
335,510120,非周期ETF
336,515660,国联安沪深300ETF
337,513690,恒生高股息ETF
338,159775,新能源车电池ETF
339,159895,物联网50ETF
340,510300,沪深300ETF
341,515030,新能源车ETF
342,510370,300指数ETF
343,159796,电池50ETF
344,517960,科技AHETF
345,159923,中证100ETF
346,512190,浙商之江凤凰ETF
347,159755,电池ETF
348,561710,疫苗生物ETF
349,159787,建材ETF易方达
350,159902,中小100ETF
351,516800,智能制造ETF
352,159683,运输ETF
353,159621,MSCIESGETF
354,562010,绿色能源ETF
355,510330,300ETF基金
356,510200,上证券商ETF
357,515670,中银中证100ETF
358,516590,智能汽车50ETF
359,510760,上证综指ETF
360,512730,中证银行ETF
361,515390,华安沪深300ETF
362,515280,银行龙头ETF
363,512700,银行ETF基金
364,515090,可持续发展ETF
365,515770,上投摩根MSCIAETF
366,510010,180治理ETF
367,159931,金融ETF
368,511990,华宝添益ETF
369,511670,华泰天天金ETF
370,511880,银华日利ETF
371,511850,财富宝ETF
372,511660,货币ETF建信添益
373,511830,华泰货币ETF
374,511810,理财金货币ETF
375,511950,添利货币ETF
376,511700,场内货币ETF
377,588010,科创新材料ETF
378,562880,电池ETF基金
379,561310,消电ETF
380,561300,300增强ETF
381,560800,数字经济ETF
382,517780,红300ETF
383,516720,ESGETF
384,516330,物联网ETF
385,516310,银行ETF易方达
386,516210,银行股ETF
387,516060,创新药产业ETF
388,515870,先进制造ETF
389,515820,A800ETF
390,515570,山证红利ETF
391,515510,500成长ETF
392,515500,中证长三角领先
393,515120,创新药ETF
394,515070,人工智能AIETF
395,515020,银行ETF华夏
396,513800,东京证券指数ETF
397,513680,恒生国企ETF
398,512590,高股息ETF
399,511970,国寿货币ETF
400,511930,中融日盈货币ETF
401,511910,融通货币ETF
402,511900,富国货币ETF
403,511860,保证金货币ETF
404,511820,鹏华添利ETF
405,511800,易方达货币ETF
406,511690,交易货币ETF
407,511650,华夏快线ETF
408,510150,消费ETF
409,159997,电子ETF
410,159994,5GETF
411,159983,粤港澳大湾区ETF
412,159905,深红利ETF
413,159858,创新药指ETF
414,159851,金融科技ETF
415,159806,新能源车ETF
416,159791,300ESGETF
417,159778,工业互联ETF
418,159728,在线消费ETF
419,159726,恒生红利ETF
420,159716,深创100ETF
421,159706,深证100ETF华安
422,159662,交运ETF
423,159623,成渝经济圈ETF
424,159005,汇添富快钱ETF
425,159003,招商快线ETF
426,159001,货币ETF
427,511770,金鹰增益货币ETF
428,511620,货币基金ETF
429,511980,现金添富ETF
430,511920,广发货币ETF
431,511600,货币ETF
432,511960,嘉实快线ETF
433,518800,黄金基金ETF
434,159934,黄金ETF
435,512180,MSCIA股ETF基金
436,518890,中银上海金ETF
437,515160,MSCI中国ETF招商
438,561000,300ETF增强
439,513880,日经225ETF
440,159937,黄金ETF基金
441,515960,医药健康ETF
442,159758,红利50ETF
443,588160,科创板新材料ETF
444,159852,软件ETF
445,516130,消费龙头ETF
446,516560,养老ETF
447,515980,人工智能ETF
448,159977,创业板ETF天弘
449,518680,金ETF
450,518880,黄金ETF
451,159912,深300ETF
452,159957,创业板ETF华夏
453,159835,创新药50ETF
454,159769,消费电子龙头ETF
455,159721,深创龙头ETF
456,159786,VRETF
457,516080,创新药ETF易方达
458,515910,质量ETF
459,159958,创业板ETF工银
460,515320,电子50ETF
461,562950,消费电子50ETF
462,159898,器械ETF
463,518850,黄金ETF9999
464,518660,黄金ETF基金
465,588060,科创50ETF龙头
466,515000,科技ETF
467,159975,深100ETF招商
468,515130,沪深300ETF博时
469,512930,AIETF
470,560680,消费ETF龙头
471,159970,深100ETF工银
472,159839,生物药ETF
473,518600,上海金ETF
474,159939,信息技术ETF
475,562510,旅游ETF
476,159798,消费50ETF
477,512120,医药50ETF
478,513290,美股生物科技ETF
479,159665,半导体龙头ETF
480,512360,平安MSCI国际ETF
481,512650,长三角ETF
482,588460,科创50增强ETF
483,518860,黄金ETFAU
484,588370,科创50增强策略ETF
485,517900,银行ETF优选
486,159935,景顺中证500ETF
487,515780,浦银MSCI中国ETF
488,159965,央视50ETF
489,159901,深证100ETF
490,159836,创300ETF
491,513100,纳指ETF
492,159938,医药卫生ETF
493,517360,沪港深科技ETF
494,510660,医药卫生ETF
495,510090,ESGETF基金
496,515860,科技ETF基金
497,517100,AH500ETF
498,159709,物联网ETF工银
499,513090,香港证券ETF
500,159987,科技创新ETF
501,561910,电池ETF
502,159952,创业板ETF广发
503,560900,创新药企ETF
504,513300,纳斯达克ETF
505,513000,日经225ETF易方达
506,513520,日经ETF
507,588150,科创龙头ETF
508,159675,创业板增强ETF
509,588090,科创板ETF
510,588390,科创创业50ETF
511,588050,科创ETF
512,516600,消费服务ETF
513,588080,科创50ETF易方达
514,159655,标普ETF
515,159849,生物科技ETF招商
516,588320,双创50增强ETF
517,159992,创新药ETF
518,159890,云计算ETF
519,513500,标普500ETF
520,516050,科技龙头ETF
521,159941,纳指ETF
522,159632,纳斯达克ETF
523,159918,中创400ETF
524,588180,科创50ETF基金
525,159908,创业板ETF博时
526,159603,双创龙头ETF
527,159909,TMT50ETF
528,512600,必选消费ETF
529,159915,创业板ETF
530,159899,软件龙头ETF
531,159658,数字经济ETF
532,515200,创新100ETF
533,159971,创业板ETF富国
534,515650,消费50ETF
535,159873,医疗设备ETF
536,159866,日经ETF
537,159995,芯片ETF
538,515950,医药龙头ETF
539,159999,永赢中证500ETF
540,159612,标普500ETF
541,517080,沪港深500ETF基金
542,588000,科创50ETF
543,517000,沪港深500ETF
544,159976,湾创ETF
545,159687,亚太低碳ETF
546,513140,港股金融ETF
547,517300,沪港深300ETF
548,159646,疫苗ETF基金
549,588280,科创50ETF华安
550,159814,创业大盘ETF
551,516000,大数据50ETF
552,512330,信息科技ETF
553,159998,计算机ETF
554,159821,BOCI创业板ETF
555,159645,疫苗龙头ETF
556,512480,半导体ETF
557,517010,沪港深500ETF指数
558,159929,医药ETF
559,516640,芯片龙头ETF
560,561130,国货ETF
561,159797,医疗器械ETF基金
562,588400,双创50ETF
563,516920,芯片ETF基金
564,159837,生物科技ETF
565,516790,医疗保健ETF
566,588100,科创信息技术ETF
567,512720,计算机ETF
568,159948,创业板ETF南方
569,159819,人工智能ETF
570,512760,芯片ETF
571,159760,泰康公卫健康ETF
572,159810,浦银创业板ETF
573,159967,创业板成长ETF
574,159838,医药ETF基金
575,159766,旅游ETF
576,588200,科创芯片ETF
577,159956,创业板ETF建信
578,159808,创业板ETF融通
579,159928,消费ETF
580,561600,消费电子ETF
581,515400,大数据ETF
582,516610,医疗服务ETF
583,588310,双创ETF基金
584,159801,芯片ETF龙头
585,516350,芯片50ETF
586,159991,创大盘ETF
587,159682,创业50ETF
588,159877,医疗产业ETF
589,159883,医疗器械ETF
590,159966,创蓝筹ETF
591,159813,半导体ETF
592,512010,医药ETF
593,159961,深100ETF方正富邦
594,159969,深100ETF银华
595,517120,沪港深创新药ETF
596,159828,医疗ETF
597,159779,消费电子ETF基金
598,516500,生物科技ETF
599,588360,科创创业ETF
600,159891,医疗ETF基金
601,516510,云计算ETF
602,512290,生物医药ETF
603,516700,大数据产业ETF
604,516580,新能源主题ETF
605,588330,双创龙头ETF
606,159780,双创ETF
607,159782,双创50ETF基金
608,159781,双创50ETF
609,159859,生物医药ETF
610,515230,软件ETF
611,159681,创50ETF
612,515260,电子ETF
613,588260,科创信息ETF
614,513360,教育ETF
615,517110,创新药沪深港ETF
616,513030,德国ETF
617,510630,消费30ETF
618,159964,平安创业板ETF
619,516820,医疗创新ETF
620,515170,食品饮料ETF
621,588290,科创板芯片ETF
622,588350,双创50ETF基金
623,516190,文娱传媒ETF
624,159949,创业板50ETF
625,516930,生物科技ETF基金
626,517660,物联网沪港深ETF
627,513310,中韩半导体ETF
628,159725,线上消费ETF
629,588300,双创ETF
630,159736,饮食ETF
631,560660,云50ETF
632,159783,双创基金ETF
633,159643,疫苗ETF
634,159847,医疗50ETF
635,516630,云计算50ETF
636,517380,创新药沪港深ETF
637,517850,张江ETF
638,513080,法国CAC40ETF
639,517760,消费TOPETF
640,159773,创科技ETF
641,517030,沪港深300ETF基金
642,560600,医药创新ETF
643,517390,云计算沪港深ETF
644,159777,创科技ETF基金
645,517500,游戏沪港深ETF
646,159733,消费电子50ETF
647,517350,中概科技ETF
648,512170,医疗ETF
649,159788,港股通100ETF
650,588380,创50ETF
651,159739,大数据ETF
652,159843,食品饮料ETF
653,517170,沪港深ETF
654,517990,医药ETF沪港深
655,513600,恒生指数ETF
656,515710,食品ETF
657,159748,沪港深创新药ETF
658,517050,互联网50ETF
659,516900,食品50ETF
660,159855,影视ETF
661,513660,恒生ETF
662,159862,食品ETF
663,516620,影视ETF
664,159805,传媒ETF
665,159960,H股ETF港股通
666,517800,人工智能50ETF
667,513990,港股通ETF
668,159712,港股通50ETF
669,515550,中融中证500ETF
670,159738,沪港深云计算ETF
671,159920,恒生ETF
672,159954,H股ETF
673,512980,传媒ETF
674,159789,饮料ETF
675,159776,港股通医药ETF
676,512690,酒ETF
677,159793,线上消费ETF平安
678,517550,消费ETF沪港深
679,513900,港股通100ETF
680,517200,互联网ETF
681,159850,恒生国企ETF
682,159823,H股ETF基金
683,159856,互联网龙头ETF
684,517770,游戏传媒ETF
685,159892,恒生医药ETF
686,510900,H股ETF
687,513550,港股通50ETF
688,159729,互联网ETF
689,517880,品牌消费ETF
690,159711,港股通ETF
691,513200,港股通医药ETF
692,517280,网购ETF
693,513060,恒生医疗ETF
694,513280,港股生物科技ETF
695,159615,生物科技ETF港股
696,159735,港股消费ETF
697,159751,港股科技ETF
698,159723,科技龙头ETF
699,159718,港股医药ETF
700,513230,港股消费ETF
701,513070,港股消费50ETF
702,513700,香港医药ETF
703,513590,香港消费ETF
704,517270,沪港深科技TOPETF
705,159869,游戏ETF
706,513120,港股创新药ETF
707,512970,大湾区ETF
708,513960,港股通消费ETF
709,513980,港股科技50ETF
710,513860,港股通科技ETF
711,513320,恒生新经济ETF
712,513020,港股科技ETF
713,513560,香港科技ETF
714,513150,港股通科技50ETF
715,516010,游戏ETF
716,513160,港股科技30ETF
717,516770,游戏动漫ETF
718,159822,新经济ETF
719,159740,恒生科技ETF
720,513890,恒生科技HKETF
721,513010,恒生科技30ETF
722,159742,恒生科技指数ETF
723,513180,恒生科技指数ETF
724,513770,港股互联网ETF
725,513580,恒生科技ETF基金
726,159747,香港科技ETF
727,513130,恒生科技ETF
728,159741,恒生科技ETF基金
729,513380,恒生科技ETF指数
730,159750,香港科技50ETF
731,513050,中概互联网ETF
732,513260,恒生科技ETFQD
733,513330,恒生互联网ETF
734,513220,全球互联ETF
735,159792,港股通互联网ETF
736,159605,中概互联ETF
737,159636,港股通科技30ETF
738,159607,中概互联网ETF
739,159688,恒生互联网ETF
